PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
novem; nonus –a –um,"9, 9th",novem,Number,3,1.3.11
vitis –is f.,"vine, grapevine",vitis,Noun,7,1.3.11
repertor –oris m.,"discoverer, inventor",repertor,Noun,1,1.3.11
hac,by this way or route,hac,Adverb,3,1.3.12
dono donare donavi donatus,to give; concede,dono,Verb,4,1.3.12
sine,without (+abl.),sine,Preposition,26,1.3.13
crimen criminis n.,"verdict, accusation",crimen,Noun,25,1.3.13
mos moris m.,custom,mos,Noun,11,1.3.13
simplicitas –atis f.,"simplicity; lack of sophistication, ignorance",simplicitas,Noun,3,1.3.14
purpureus –a –um,purple,purpureus,Adjective,9,1.3.14
mille; millesimus –a –um,"1000, 1000th",mille,Number,6,1.3.15
placeo placere placui placitum,to please,placeo,Verb,28,1.3.15
desultor –oris m.,acrobat,desultor,Noun,1,1.3.15
cura curae f.,"care, concern",cura,Noun,15,1.3.16
perennis perennis perenne,lasting throughout the year,perennis,Adjective,6,1.3.16
filum –i n.,"thread, string",filum,Noun,3,1.3.17
soror sororis f.,sister,soror,Noun,5,1.3.17
vivo vivere vixi victus,to live,vivo,Verb,17,1.3.18
contingo contingere contigi contactus,to touch,contingo,Verb,12,1.3.18
materies materiei f.,material,materies,Noun,1,1.3.19
praebeo praebere praebui praebitus,to supply,praebeo,Verb,11,1.3.19
provenio –venire –veni –venturum,to come forth; come about,provenio,Verb,3,1.3.20
causa causae f.,"cause, reason, lawsuit",causa,Noun,23,1.3.20
dignus –a –um,worthy,dignus,Adjective,10,1.3.20
exterreo –ere –ui –itus,to frighten; alarm,exterreo,Verb,1,1.3.21
cornu cornus f.,horn,cornu,Noun,7,1.3.21
Io –us f.,Io,Io,Noun,3,1.3.21
flumineus –a –um,of a river,flumineus,Adjective,1,1.3.22
ludo ludere lusi lusus,to play; play with,ludo,Verb,6,1.3.22
adulter –eri m.,adulterer,adulter,Noun,4,1.3.22
super,over (adv. and prep. +acc.),super,Preposition,3,1.3.23
pontus ponti m.,the open sea,pontus,Noun,2,1.3.23
simulo simulare simulavi simulatus,to imitate,simulo,Verb,5,1.3.23
veho vehere vexi vectus,to carry,veho,Verb,5,1.3.23
iuvencus –i m.,"young bull, bullock",iuvencus,Noun,1,1.3.23
virgineus –a –um,"maidenly, of a virgin",virgineus,Adjective,3,1.3.24
teneo tenere tenui tentus,to hold,teneo,Verb,19,1.3.24
varus –a –um,"crooked, bent; diverse, different",varus,Adjective,1,1.3.24
totus –a –um,whole,totus,Adjective,22,1.3.25
pariter,alike,pariter,Adverb,4,1.3.25
canto cantare cantavi cantatus,"to sing, play",canto,Verb,12,1.3.25
orbis orbis m.,"circle, orb",orbis,Noun,15,1.3.25
vir viri m.,man,vir,Noun,43,1.4.1
epulae epularum (f. pl.),"banquet, feast",epulae,Noun,1,1.4.1
adeo adire adivi/adii aditus,to go to,adeo,Verb,4,1.4.1
idem eadem idem,same,idem,Pronoun,7,1.4.1
ulterior –ius; ultimus –a –um,farther; farthest,ulterior,Adjective,6,1.4.2
cena cenae f.,dinner,cena,Noun,1,1.4.2
diligo diligere dilexi dilectus,to choose; love,diligo,Verb,1,1.4.3
conviva –ae m.,guest at meal,conviva,Noun,2,1.4.3
tango tangere tetigi tactus,to touch,tango,Verb,23,1.4.4
alter altera alterum,other of two,alter,Adjective,28,1.4.4
sinus sinus m.,"fold, pocket, chest",sinus,Noun,13,1.4.5
subicio subicere subieci subiectus,"to throw under, put up for auction",subicio,Verb,3,1.4.5
foveo fovere fovi fotus,to warm; favor,foveo,Verb,3,1.4.5
inicio –ere –ieci –iectum,"to throw, lay hands on",inicio,Verb,5,1.4.6
collum colli n.,neck,collum,Noun,12,1.4.6
desino desinere desii desitus,"to leave off, cease",desino,Verb,8,1.4.7
miror mirari miratus sum,"to wonder, be astonished",miror,Verb,7,1.4.7
pono ponere posui positus,to place,pono,Verb,22,1.4.7
